ts,load1,mem_used_mb,mem_avail_mb,swap_used_mb,cpu_total_cores,py_cores,py_rss_mb,dec_cores,dec_rss_mb,pub_cores,pub_rss_mb,mtx_cores,mtx_rss_mb,temp_c,cpu_mhz
2026-09-06T05:05:42,3.20,2159,1638,0,2.77,0.94,1340,1.66,330,0.01,49,0.04,47,28,2625
2026-09-06T05:05:52,3.33,2180,1617,0,2.33,0.45,1330,1.81,330,0.01,49,0.04,46,28,2600
2026-09-06T05:06:02,3.44,2196,1601,0,2.77,1.02,1334,1.68,330,0.01,49,0.03,46,28,2600
2026-09-06T05:06:12,3.91,2120,1677,0,2.69,0.92,1340,1.65,330,0.01,49,0.04,46,28,2700
2026-09-06T05:06:22,3.68,2114,1683,0,2.22,0.44,1330,1.71,330,0.01,49,0.04,47,28,2300
2026-09-06T05:06:32,3.50,2176,1621,0,2.64,0.99,1335,1.57,330,0.01,49,0.03,48,28,2600
2026-09-06T05:06:42,3.73,2158,1639,0,2.78,0.91,1340,1.68,330,0.01,49,0.03,47,28,2600
2026-09-06T05:06:52,3.47,2119,1678,0,2.32,0.49,1330,1.74,330,0.01,49,0.04,47,28,2600
2026-09-06T05:07:02,3.38,2166,1631,0,2.65,1.01,1334,1.58,330,0.01,49,0.03,46,28,800
2026-09-06T05:07:12,3.47,2139,1658,0,2.66,0.93,1340,1.65,330,0.01,49,0.04,48,28,2700
2026-09-06T05:07:22,3.48,2202,1595,0,2.08,0.42,1330,1.61,330,0.01,49,0.03,47,28,1471
2026-09-06T05:07:32,3.24,2197,1600,0,2.78,1.02,1335,1.68,330,0.01,49,0.04,46,28,2600
2026-09-06T05:07:42,3.62,2158,1639,0,2.77,0.90,1340,1.66,330,0.01,49,0.03,47,28,2600
2026-09-06T05:07:52,3.59,2183,1614,0,2.84,1.58,1306,1.20,330,0.01,49,0.02,47,28,3137
2026-09-06T05:08:02,4.02,2210,1587,0,3.35,1.90,1307,1.38,330,0.01,49,0.03,47,28,2920
2026-09-06T05:08:12,3.80,2221,1576,0,3.13,1.75,1340,1.32,330,0.01,49,0.03,47,28,2700
2026-09-06T05:08:22,3.37,2158,1639,0,2.88,1.49,1326,1.34,330,0.01,49,0.02,49,28,2700
2026-09-06T05:08:32,3.22,2210,1587,0,3.39,1.92,1298,1.40,330,0.01,49,0.03,46,28,2800
2026-09-06T05:08:42,3.27,2189,1608,0,3.10,1.67,1327,1.27,330,0.01,49,0.03,46,28,2600
2026-09-06T05:08:52,3.37,2148,1649,0,2.90,1.51,1305,1.32,330,0.01,49,0.03,48,28,2913
2026-09-06T05:09:02,3.75,2222,1575,0,3.38,1.93,1307,1.38,330,0.01,49,0.02,46,28,2802
2026-09-06T05:09:12,4.11,2228,1569,0,3.15,1.76,1322,1.33,330,0.01,49,0.03,47,28,2700
2026-09-06T05:09:22,4.10,2212,1585,0,2.83,1.47,1317,1.30,330,0.01,49,0.02,46,28,2800
2026-09-06T05:09:32,4.69,2214,1583,0,3.37,1.92,1310,1.38,330,0.01,49,0.03,48,28,3100
2026-09-06T05:09:42,4.92,2230,1567,0,3.09,1.72,1320,1.31,330,0.01,49,0.02,48,28,2700
2026-09-06T05:09:52,4.31,2156,1641,0,2.80,1.46,1320,1.26,330,0.01,49,0.02,48,28,2879
2026-09-06T05:10:02,4.18,2147,1650,0,3.27,1.78,1290,1.42,330,0.01,49,0.03,48,28,2000
2026-09-06T05:10:12,4.25,2176,1621,0,2.65,0.98,1318,1.60,330,0.01,49,0.03,47,28,2700
2026-09-06T05:10:22,3.60,2173,1624,0,2.23,0.49,1306,1.66,330,0.01,49,0.03,46,28,800
2026-09-06T05:10:32,4.02,2170,1627,0,2.96,1.18,1336,1.70,330,0.02,49,0.03,47,28,800
2026-09-06T05:10:42,3.95,2128,1669,0,2.73,0.97,1306,1.68,330,0.01,49,0.03,48,28,2700
2026-09-06T05:10:52,3.72,2173,1624,0,2.29,0.42,1321,1.70,330,0.01,49,0.03,48,28,2000
2026-09-06T05:11:02,3.38,2163,1634,0,2.83,1.24,1287,1.52,330,0.01,49,0.03,48,28,2200
2026-09-06T05:11:12,3.25,2230,1567,0,2.79,1.02,1327,1.69,330,0.01,49,0.04,47,28,2676
2026-09-06T05:11:22,2.91,2171,1626,0,2.23,0.45,1312,1.71,330,0.01,49,0.04,48,28,2500
2026-09-06T05:11:32,3.13,2181,1616,0,2.79,1.04,1327,1.67,330,0.01,49,0.03,47,28,2300
2026-09-06T05:11:42,3.19,2154,1643,0,2.75,0.99,1297,1.68,330,0.01,49,0.03,47,28,2600
2026-09-06T05:11:52,3.59,2217,1580,0,2.94,1.57,1291,1.21,330,0.01,49,0.02,48,28,2800
2026-09-06T05:12:02,3.72,2175,1622,0,3.40,1.95,1328,1.38,330,0.01,49,0.03,47,28,2700
2026-09-06T05:12:12,4.00,2251,1546,0,3.16,1.77,1335,1.34,330,0.01,49,0.02,47,28,2500
2026-09-06T05:12:22,4.31,2182,1615,0,2.77,1.45,1329,1.26,330,0.01,49,0.02,48,28,2700
2026-09-06T05:12:32,4.54,2241,1556,0,3.41,1.95,1321,1.38,330,0.01,49,0.03,47,28,2700
2026-09-06T05:12:42,4.24,2253,1544,0,3.15,1.77,1356,1.32,330,0.01,49,0.03,48,28,2608
2026-09-06T05:12:52,4.27,2148,1649,0,3.11,1.74,1328,1.29,330,0.01,49,0.02,47,28,2700
2026-09-06T05:13:02,4.22,2185,1612,0,3.41,1.94,1327,1.40,330,0.01,49,0.03,47,28,2700
2026-09-06T05:13:12,3.96,2246,1551,0,3.13,1.76,1320,1.31,330,0.01,49,0.02,47,28,2600
2026-09-06T05:13:22,3.74,2180,1617,0,2.79,1.45,1302,1.29,330,0.01,49,0.02,48,28,3112
2026-09-06T05:13:32,3.86,2248,1549,0,3.63,2.19,1363,1.37,330,0.01,49,0.03,48,28,2600
2026-09-06T05:13:42,3.74,2217,1580,0,3.20,1.78,1341,1.35,330,0.01,49,0.02,47,28,2700
2026-09-06T05:13:52,3.39,2209,1588,0,2.83,1.41,1312,1.26,330,0.01,49,0.02,48,28,2700
2026-09-06T05:14:02,3.32,2205,1592,0,3.37,1.94,1314,1.37,330,0.01,49,0.02,48,28,2700
2026-09-06T05:14:12,3.35,2182,1615,0,3.17,1.78,1343,1.33,330,0.01,49,0.03,46,28,2600
2026-09-06T05:14:22,2.99,2152,1645,0,2.79,1.44,1307,1.29,330,0.01,49,0.02,48,28,3000
2026-09-06T05:14:32,3.49,2233,1564,0,3.42,1.96,1299,1.40,330,0.01,49,0.03,47,28,2700
2026-09-06T05:14:42,3.81,2243,1554,0,3.18,1.77,1375,1.35,330,0.01,49,0.03,47,28,2700
2026-09-06T05:14:52,3.84,2207,1590,0,2.82,1.42,1333,1.25,330,0.01,49,0.02,47,28,2700
2026-09-06T05:15:02,4.25,2225,1572,0,3.41,1.94,1334,1.40,330,0.01,49,0.03,46,28,2600
2026-09-06T05:15:12,4.54,2194,1603,0,3.22,1.78,1335,1.38,330,0.01,49,0.03,47,28,2600
2026-09-06T05:15:22,4.28,2204,1593,0,2.37,0.57,1333,1.72,330,0.01,49,0.04,47,28,2700
2026-09-06T05:15:32,4.22,2177,1620,0,2.97,1.35,1288,1.55,330,0.01,49,0.03,46,28,2338
2026-09-06T05:15:42,4.12,2227,1570,0,2.74,1.09,1305,1.58,330,0.01,49,0.03,47,28,2700
2026-09-06T05:15:52,4.25,2162,1635,0,2.22,0.41,1314,1.71,330,0.01,49,0.04,47,28,875
2026-09-06T05:16:02,4.13,2236,1561,0,3.02,1.32,1328,1.62,330,0.01,49,0.03,48,28,2200
2026-09-06T05:16:12,4.28,2157,1640,0,2.69,1.03,1314,1.58,330,0.01,49,0.03,47,28,2700
2026-09-06T05:16:22,4.00,2190,1607,0,2.04,0.34,1314,1.65,330,0.01,49,0.03,47,28,2000
2026-09-06T05:16:33,3.61,2179,1618,0,2.93,1.27,1328,1.58,330,0.01,49,0.03,46,28,2600
2026-09-06T05:16:43,3.21,2197,1600,0,2.74,1.03,1314,1.63,330,0.02,49,0.03,47,28,2600
2026-09-06T05:16:53,3.17,2148,1649,0,2.20,0.36,1314,1.68,330,0.01,49,0.03,48,28,2700
2026-09-06T05:17:03,3.51,2214,1583,0,2.92,1.28,1317,1.57,330,0.01,49,0.03,46,28,2300
2026-09-06T05:17:13,3.44,2152,1645,0,2.56,1.01,1314,1.48,330,0.01,49,0.03,48,28,2600
2026-09-06T05:17:23,3.07,2174,1623,0,2.07,0.34,1272,1.67,330,0.01,49,0.03,46,28,2700
2026-09-06T05:17:33,3.41,2146,1651,0,2.89,1.25,1288,1.57,330,0.01,49,0.03,47,28,1012
2026-09-06T05:17:43,3.28,2155,1642,0,2.78,1.04,1314,1.66,330,0.02,49,0.03,47,28,2700
2026-09-06T05:17:53,3.16,2151,1646,0,2.22,0.37,1272,1.69,330,0.01,49,0.03,48,28,2700
2026-09-06T05:18:03,3.37,2167,1630,0,2.98,1.29,1328,1.62,330,0.01,49,0.03,47,28,2600
2026-09-06T05:18:13,3.01,2202,1595,0,2.72,1.04,1314,1.61,330,0.01,49,0.03,47,28,2600
2026-09-06T05:18:23,3.01,2096,1701,0,2.20,0.38,1314,1.75,330,0.01,49,0.04,46,28,2700
2026-09-06T05:18:33,3.32,2178,1619,0,2.76,1.11,1317,1.57,330,0.01,49,0.03,46,28,2600
2026-09-06T05:18:43,3.21,2179,1618,0,2.79,1.13,1299,1.59,330,0.01,49,0.03,47,28,2600
2026-09-06T05:18:53,3.01,2177,1620,0,2.14,0.41,1314,1.59,330,0.01,49,0.04,47,28,2468
2026-09-06T05:19:03,3.22,2201,1596,0,2.90,1.12,1317,1.67,330,0.01,49,0.03,47,28,1400
2026-09-06T05:19:13,2.96,2184,1613,0,2.89,1.15,1303,1.66,330,0.02,49,0.03,47,28,2600
2026-09-06T05:19:23,2.88,2146,1651,0,2.13,0.42,1283,1.66,330,0.01,49,0.03,47,28,2600
2026-09-06T05:19:33,3.19,2205,1592,0,2.81,1.10,1317,1.63,330,0.01,49,0.03,47,28,2300
2026-09-06T05:19:43,3.25,2180,1617,0,2.86,1.13,1303,1.65,330,0.01,49,0.04,46,28,2600
2026-09-06T05:19:53,3.21,2127,1670,0,2.26,0.45,1314,1.75,330,0.01,49,0.04,48,28,2600
2026-09-06T05:20:03,3.62,2277,1520,0,2.97,1.11,1317,1.64,330,0.02,49,0.03,46,28,1700
2026-09-06T05:20:13,3.61,2170,1627,0,2.73,1.12,1305,1.53,330,0.01,49,0.03,48,28,2700
2026-09-06T05:20:23,3.58,2172,1625,0,2.28,0.45,1316,1.76,330,0.01,49,0.04,46,28,2700
2026-09-06T05:20:33,3.65,2225,1572,0,2.70,1.07,1317,1.56,330,0.01,49,0.03,48,28,2300
2026-09-06T05:20:43,4.02,2231,1566,0,2.87,1.15,1308,1.65,330,0.02,49,0.03,47,28,2600
2026-09-06T05:20:53,3.72,2112,1685,0,2.04,0.39,1316,1.59,330,0.01,49,0.03,47,28,2700
2026-09-06T05:21:03,3.75,2159,1638,0,2.81,1.08,1317,1.52,330,0.01,49,0.03,47,28,2300
2026-09-06T05:21:13,3.56,2165,1632,0,2.77,1.15,1305,1.54,330,0.01,49,0.03,48,28,2600
2026-09-06T05:21:23,3.70,2168,1629,0,2.07,0.42,1316,1.59,330,0.01,49,0.03,48,28,2700
2026-09-06T05:21:33,4.36,2153,1644,0,2.73,1.09,1317,1.57,330,0.01,49,0.03,47,28,1400
2026-09-06T05:21:43,4.40,2189,1608,0,2.90,1.16,1305,1.66,330,0.02,49,0.04,47,28,2600
2026-09-06T05:21:53,3.87,2169,1628,0,2.29,0.45,1316,1.77,330,0.01,49,0.04,48,28,2700
2026-09-06T05:22:03,4.51,2260,1537,0,2.82,1.08,1317,1.62,330,0.01,49,0.03,46,28,2100
2026-09-06T05:22:13,4.52,2208,1589,0,2.98,1.20,1325,1.70,330,0.02,49,0.04,47,28,2600
2026-09-06T05:22:23,3.83,2166,1631,0,2.16,0.42,1316,1.68,330,0.01,49,0.03,49,28,2617
2026-09-06T05:22:33,3.63,2188,1609,0,2.78,1.08,1311,1.61,330,0.01,49,0.03,46,28,2600
2026-09-06T05:22:43,3.46,2148,1649,0,2.90,1.18,1314,1.65,330,0.01,49,0.03,47,28,2600
2026-09-06T05:22:53,3.29,2151,1646,0,2.25,0.43,1316,1.75,330,0.01,49,0.04,46,28,2700
2026-09-06T05:23:03,3.77,2220,1577,0,2.78,0.96,1328,1.65,330,0.01,49,0.04,47,28,1300
2026-09-06T05:23:13,3.58,2154,1643,0,2.79,1.04,1314,1.67,330,0.02,49,0.03,48,28,800
2026-09-06T05:23:23,3.17,2165,1632,0,2.29,0.44,1316,1.78,330,0.01,49,0.04,47,28,2600
2026-09-06T05:23:33,3.06,2135,1662,0,2.58,0.95,1328,1.56,330,0.01,49,0.03,47,28,800
2026-09-06T05:23:43,2.90,2160,1637,0,2.79,1.05,1314,1.66,330,0.02,49,0.04,47,28,1800
2026-09-06T05:23:53,2.92,2202,1595,0,2.14,0.41,1316,1.66,330,0.01,49,0.04,47,28,2600
2026-09-06T05:24:03,3.24,2245,1552,0,2.72,0.96,1328,1.60,330,0.01,49,0.03,47,28,1100
2026-09-06T05:24:13,3.66,2157,1640,0,2.65,1.02,1314,1.55,330,0.01,49,0.03,48,28,1700
2026-09-06T05:24:23,3.10,2183,1614,0,2.14,0.42,1316,1.65,330,0.01,49,0.03,47,28,2600
2026-09-06T05:24:33,2.92,2159,1638,0,2.69,0.96,1328,1.65,330,0.01,49,0.03,46,28,1400
2026-09-06T05:24:43,2.85,2158,1639,0,2.80,1.05,1314,1.67,330,0.02,49,0.04,47,28,2000
2026-09-06T05:24:53,2.71,2109,1688,0,2.25,0.43,1316,1.75,330,0.01,49,0.04,47,28,2700
2026-09-06T05:25:03,3.21,2239,1558,0,2.69,0.96,1328,1.56,330,0.01,49,0.03,47,28,1100
2026-09-06T05:25:13,3.11,2212,1585,0,2.87,1.16,1377,1.63,330,0.02,49,0.03,47,28,2700
